img, label, ecd.nm, minor.ax.len.nm, major.ax.len.nm, ar, solidity
3, 4, 75.9538, 74.26, 77.7382, 1.04684, 0.986222
3, 5, 78.9662, 77.4177, 80.6017, 1.04113, 0.975374
3, 6, 73.2146, 71.4104, 75.1647, 1.05257, 0.983156
3, 7, 65.2271, 63.8617, 66.8073, 1.04612, 0.972996
3, 8, 78.6213, 77.5508, 79.8068, 1.02909, 0.984478
3, 10, 83.0611, 81.9457, 84.2609, 1.02825, 0.985015
3, 11, 99.1488, 97.9163, 100.435, 1.02573, 0.985162
3, 12, 82.0737, 80.9041, 83.3624, 1.03039, 0.985468
3, 13, 80.0974, 78.8964, 81.3485, 1.03108, 0.983621
3, 14, 106.776, 105.796, 107.786, 1.01881, 0.98734
3, 15, 74.4081, 74.1388, 74.7649, 1.00845, 0.984667
3, 16, 77.0562, 76.7718, 77.431, 1.00859, 0.985688
3, 17, 76.2493, 74.9722, 77.6608, 1.03586, 0.984762
3, 18, 86.0099, 84.2702, 87.8317, 1.04226, 0.98233
3, 19, 69.7268, 69.2441, 70.3915, 1.01657, 0.97813
3, 20, 89.7841, 88.6878, 90.9494, 1.0255, 0.9775
3, 21, 80.7963, 79.7665, 81.9621, 1.02753, 0.982234
3, 22, 81.6501, 80.3282, 83.0841, 1.03431, 0.985592
3, 24, 64.6063, 63.3281, 65.9785, 1.04185, 0.978901
3, 25, 73.5339, 72.8049, 74.4878, 1.02311, 0.978298
3, 26, 86.1841, 84.848, 87.6864, 1.03345, 0.984107
3, 27, 75.2472, 74.1769, 76.3784, 1.02968, 0.98212
3, 28, 92.7819, 92.6644, 92.9356, 1.00293, 0.987105
3, 29, 86.1406, 85.0263, 87.4123, 1.02806, 0.985316
3, 30, 73.9533, 73.484, 74.5321, 1.01426, 0.977554
3, 31, 90.8529, 89.6925, 92.0449, 1.02623, 0.984794
3, 32, 84.6038, 83.1702, 86.1656, 1.03602, 0.982001
3, 33, 72.3001, 71.1219, 73.63, 1.03527, 0.988306
3, 34, 78.1191, 77.5558, 78.7655, 1.0156, 0.983389
3, 36, 70.5817, 69.3238, 72.0099, 1.03875, 0.976129
3, 37, 56.8768, 55.8219, 58.0491, 1.0399, 0.982356
3, 38, 72.3131, 71.4198, 73.3442, 1.02694, 0.975524
3, 39, 75.8056, 73.3672, 78.4976, 1.06993, 0.983007
3, 40, 58.2122, 57.3193, 59.2706, 1.03404, 0.981542
3, 41, 74.5339, 73.7924, 75.4245, 1.02212, 0.979187
3, 42, 74.1305, 73.3159, 75.0726, 1.02396, 0.983233
3, 43, 83.2865, 82.1518, 84.6007, 1.02981, 0.98667
3, 44, 88.3002, 87.3473, 89.3838, 1.02331, 0.987186
3, 45, 79.7691, 78.6546, 81.0008, 1.02983, 0.984914
3, 46, 92.0823, 91.0527, 93.1998, 1.02358, 0.983051
3, 47, 50.5618, 49.6938, 51.7654, 1.04169, 0.968062
3, 48, 43.3792, 41.0165, 46.2895, 1.12856, 0.920257
3, 49, 82.1079, 81.1319, 83.209, 1.0256, 0.983055
3, 50, 85.2658, 83.4285, 87.1816, 1.04499, 0.984518
3, 51, 84.9685, 83.9815, 86.024, 1.02432, 0.983406
3, 52, 75.6942, 74.9886, 76.5253, 1.02049, 0.983907
3, 53, 98.3803, 98.1281, 98.6983, 1.00581, 0.98512
3, 54, 89.4286, 88.3165, 90.5945, 1.02579, 0.980694
3, 55, 71.492, 70.6355, 72.5273, 1.02678, 0.981995
3, 56, 78.895, 78.1202, 79.8387, 1.022, 0.974758
3, 57, 62.1518, 61.518, 62.8789, 1.02212, 0.979097
3, 58, 67.4728, 66.8492, 68.2771, 1.02136, 0.987398
3, 59, 84.6702, 83.8646, 85.6218, 1.02095, 0.985063
3, 60, 66.0551, 64.3879, 67.8817, 1.05426, 0.986441
3, 61, 87.0711, 86.6939, 87.5384, 1.00974, 0.985864
3, 62, 71.9233, 69.4994, 74.4589, 1.07136, 0.98081
3, 63, 81.3627, 80.8776, 81.9608, 1.01339, 0.983844
3, 64, 72.7524, 71.9676, 73.6791, 1.02378, 0.983972
3, 65, 76.5804, 76.1011, 77.1307, 1.01353, 0.977202
3, 66, 76.7882, 75.7312, 77.8791, 1.02836, 0.986207
3, 69, 69.1736, 68.6527, 69.8521, 1.01747, 0.979662
3, 70, 62.8416, 62.1591, 63.6605, 1.02415, 0.98366
3, 71, 90.636, 89.3995, 92.0317, 1.02944, 0.982295
3, 72, 71.7406, 70.9466, 72.8455, 1.02677, 0.981766
3, 74, 79.8513, 78.0782, 81.7565, 1.04711, 0.981818
3, 75, 80.3894, 79.3858, 81.5344, 1.02706, 0.983738
3, 76, 81.2359, 81.2265, 81.38, 1.00189, 0.9816
3, 77, 97.922, 97.2274, 98.7747, 1.01591, 0.979139
3, 78, 81.4318, 81.0933, 81.9056, 1.01002, 0.984967
4, 2, 85.9336, 85.0529, 86.9144, 1.02189, 0.98846
4, 3, 53.0225, 52.4434, 53.738, 1.02469, 0.971503
4, 4, 83.9477, 82.2779, 85.7284, 1.04194, 0.98198
4, 6, 79.144, 77.5794, 80.8529, 1.0422, 0.977193
4, 8, 80.366, 79.2751, 81.5726, 1.02898, 0.98598
4, 9, 73.5339, 72.9774, 74.3301, 1.01854, 0.985651
4, 10, 79.7809, 79.2252, 80.4886, 1.01595, 0.982923
4, 11, 81.0973, 80.6127, 81.6728, 1.01315, 0.984292
4, 12, 46.9082, 45.9824, 48.0979, 1.04601, 0.94907
4, 13, 68.8205, 67.9047, 69.8338, 1.02841, 0.982122
4, 14, 91.1618, 90.5701, 91.8132, 1.01373, 0.984458
4, 15, 93.1448, 93.0049, 93.3431, 1.00364, 0.979268
4, 16, 78.3467, 77.4006, 79.399, 1.02582, 0.980245
4, 18, 78.8475, 77.9528, 79.7901, 1.02357, 0.978178
4, 19, 91.8785, 91.5839, 92.2781, 1.00758, 0.985558
4, 20, 84.1484, 83.4608, 84.9495, 1.01784, 0.981554
4, 21, 64.9102, 64.6611, 65.4513, 1.01222, 0.950127
4, 22, 52.4182, 51.7489, 53.1577, 1.02722, 0.983893
4, 23, 73.7503, 72.324, 75.3225, 1.04146, 0.980405
4, 24, 77.2505, 76.82, 77.8144, 1.01294, 0.985759
4, 25, 76.3476, 75.0895, 77.7583, 1.03554, 0.980763
4, 26, 94.0658, 91.672, 96.5645, 1.05337, 0.983542
4, 27, 73.7249, 73.3212, 74.2624, 1.01284, 0.986395
4, 28, 107.013, 106.371, 107.756, 1.01302, 0.981368
4, 29, 78.4304, 78.1683, 78.7865, 1.00791, 0.982635
4, 30, 83.2189, 82.7032, 83.8543, 1.01392, 0.987176
4, 31, 82.4951, 81.35, 83.7391, 1.02937, 0.986149
4, 32, 62.5576, 61.6067, 63.6035, 1.03241, 0.982126
4, 33, 67.9572, 67.4592, 68.66, 1.0178, 0.982456
4, 34, 95.8619, 94.861, 96.9584, 1.02211, 0.977277
4, 35, 88.0877, 87.394, 88.9107, 1.01735, 0.981973
4, 36, 89.9302, 89.7594, 90.183, 1.00472, 0.982692
4, 37, 93.5764, 92.8567, 94.3957, 1.01657, 0.983786
4, 38, 78.7999, 77.9212, 79.7185, 1.02307, 0.983962
4, 40, 79.4395, 78.0037, 80.9671, 1.03799, 0.980489
4, 41, 59.8474, 59.2244, 60.5724, 1.02276, 0.981006
4, 42, 85.9881, 84.0479, 88.0162, 1.04721, 0.987237
4, 43, 69.8879, 69.7617, 70.1455, 1.0055, 0.978596
4, 44, 68.9973, 68.2543, 69.8527, 1.02342, 0.98526
4, 45, 79.7691, 79.0802, 80.5859, 1.01904, 0.978386
4, 46, 73.5976, 72.9851, 74.3977, 1.01935, 0.980326
4, 47, 92.5189, 92.1152, 92.9751, 1.00933, 0.983631
4, 48, 72.2353, 71.5935, 73.056, 1.02043, 0.984441
4, 49, 73.9026, 72.78, 75.1318, 1.03231, 0.980155
4, 50, 72.352, 71.1042, 73.7798, 1.03763, 0.976573
4, 51, 72.3779, 70.2921, 74.7025, 1.06274, 0.973189
4, 52, 84.1929, 82.8509, 85.673, 1.03406, 0.983359
4, 53, 76.8979, 75.1609, 78.9033, 1.04979, 0.974969
4, 54, 69.7671, 68.3344, 71.3687, 1.0444, 0.982967
4, 55, 83.3427, 82.3331, 84.4726, 1.02599, 0.985901
4, 56, 93.3659, 92.2561, 94.5483, 1.02485, 0.98226
4, 57, 71.832, 71.7068, 72.1281, 1.00587, 0.968003
4, 58, 66.6342, 66.2959, 67.0303, 1.01108, 0.981359
4, 59, 90.8425, 90.2001, 91.5884, 1.01539, 0.986556
4, 60, 67.8606, 66.7747, 69.0054, 1.03341, 0.982407
4, 61, 62.4677, 61.2998, 63.8281, 1.04125, 0.977924
4, 62, 81.3857, 80.7983, 82.0879, 1.01596, 0.981939
4, 63, 86.2819, 85.9449, 86.655, 1.00826, 0.983899
4, 64, 81.948, 80.7502, 83.2463, 1.03091, 0.98407
4, 65, 68.8885, 67.9483, 70.0216, 1.03051, 0.982919
4, 66, 75.1849, 74.4334, 76.0845, 1.02218, 0.985943
4, 67, 88.5334, 87.4658, 89.6567, 1.02505, 0.980309
4, 68, 94.2848, 92.4404, 96.1968, 1.04064, 0.985456
4, 69, 76.5804, 75.1119, 78.1342, 1.04024, 0.975983
4, 70, 65.9983, 65.4307, 66.7433, 1.02006, 0.985163
